Enochian,Meaning,Category,Root,Gematria,Confidence,Derivation
BOGIZI,"reign (past, general)",verb,BOG,172,0.70,verb_conjugation > past > general
BOGOLU,"reign (future, general)",verb,BOG,101,0.70,verb_conjugation > future > general
BOGPA,reign,original,BOG,59,1.00,original_corpus
BOLD,earth (extended),extended,BOL,62,0.50,markov_extension
BOLN,demon (extended),extended,BOL,109,0.50,markov_extension
BOLP,be thou,original,BOL,67,1.00,original_corpus
BOOAPIS,her voice,original,BOO,143,1.00,original_corpus
BRIAD,harmony (extended),extended,BRI,174,0.50,markov_extension
BRIL,stone (extended),extended,BRI,189,0.50,markov_extension
BRIN,have,original,BRI,215,1.00,original_corpus
BRINTS,hast/have,original,BRI,228,1.00,original_corpus
BRIS,light,elements,BRI,169,0.70,markov_generation
BRITA,more than,original,BRI,180,1.00,original_corpus
BRITALZ,power,abstract,BRI,211,0.70,morphological_derivation > more than + stewards
BUSD,glory,original,BUS,14,1.00,original_corpus
BUSDAHE,knowledge (extended),extended,BUS,30,0.50,markov_extension
BUSDIR,glory,original,BUS,174,1.00,original_corpus
BUSDIX,demon,beings,BUS,474,0.70,markov_generation
C,but/also,original,C,1,1.00,original_corpus
CABUSD,season,temporal,CAB,21,0.70,morphological_derivation > therefore/hence + glory
CACARS,air (extended),extended,CAC,118,0.50,markov_extension
CACRG,but,original,CAC,118,1.00,original_corpus
CAFABOANUUL,secret,abstract,CAF,140,0.70,morphological_derivation > therefore/hence + poison + end/rising
CAHOXMARCHRG,spirit,existential,CAH,746,0.70,morphological_derivation > therefore/hence + bucklers + fire/reason
CALH,sacred (extended),extended,CAL,32,0.50,markov_extension
CALPE,cosmos (extended),extended,CAL,48,0.50,markov_extension
CALPONA,mystery (extended),extended,CAL,125,0.50,markov_extension
CAMLIAX,no light,original,CAM,587,1.00,original_corpus
CAN,darkness (extended),extended,CAN,57,0.50,markov_extension
CANSE,such as,original,CAN,70,1.00,original_corpus
CAO,wherefore,original,CAO,37,1.00,original_corpus
CAOA,beneath,preposition,CAO,43,0.65,preposition_generation
CAOI,beneath,preposition,CAO,97,0.65,preposition_generation
CAOIAD,storm (extended),extended,CAO,106,0.50,markov_extension
CAOIBS,wisdom (extended),extended,CAO,106,0.50,markov_extension
CAOO,beneath,preposition,CAO,67,0.65,preposition_generation
CAOSG,earth (short),original,CAO,51,1.00,original_corpus
CAOSGI,earth (variant),original,CAO,111,1.00,original_corpus
CAOSGO,earth,original,CAO,81,1.00,original_corpus
CAP,air (extended),extended,CAP,15,0.50,markov_extension
CAPMIALI,successively,original,CAP,255,1.00,original_corpus
CARS,voice,body,CAR,111,0.70,markov_generation
CASARM,to whom,original,CAS,207,1.00,original_corpus
CASARMA,whom,original,CAS,213,1.00,original_corpus
CASARMG,whom,original,CAS,217,1.00,original_corpus
CASB,prayer (extended),extended,CAS,16,0.50,markov_extension
CHIIS,are (variant),original,CHI,126,1.00,original_corpus
CHIL,time (extended),extended,CHI,86,0.50,markov_extension
CHIS,are,original,CHI,66,1.00,original_corpus
CHRISTEOS,let there be,original,CHR,218,1.00,original_corpus
CHRIT,ice,materials,CHR,171,0.70,markov_generation
CICLE,mysteries,original,CIC,95,1.00,original_corpus
CICLEMP,air,elements,CIC,193,0.70,morphological_derivation > mysteries + understanding
CLA,456,original,CLA,31,1.00,original_corpus
CLAAX,breath,body,CLA,437,0.70,morphological_derivation > 456 + place/seat
CNIG,fall (extended),extended,CNI,121,0.50,markov_extension
CNILA,blood,original,CNI,141,1.00,original_corpus
COLLAL,sleepers,original,COL,109,1.00,original_corpus
COMSELH,circle,original,COM,159,1.00,original_corpus
CORALZA,speak (extended),extended,COR,174,0.50,markov_extension
CORDZIZ,reason,original,COR,208,1.00,original_corpus
CORS,saying,original,COR,135,1.00,original_corpus
CRG,moon,cosmic,CRG,111,0.70,markov_generation
CRIP,but,original,CRI,169,1.00,original_corpus
CRIPAMAMIA,power (extended),extended,CRI,427,0.50,markov_extension
CRO,that,original,CRO,131,1.00,original_corpus
CROM,essence (extended),extended,CRO,221,0.50,markov_extension
CROOATRANP,hand (extended),extended,CRO,340,0.50,markov_extension
CROODZI,wonder,original,CRO,231,1.00,original_corpus
CROSGIM,move (extended),extended,CRO,295,0.50,markov_extension
D,third/of,original,D,3,1.00,original_corpus
DAH,wisdom (extended),extended,DAH,10,0.50,markov_extension
DAOILAPH,heart (extended),extended,DAO,138,0.50,markov_extension
DAOSG,desert,places,DAO,53,0.70,markov_generation
DAOX,vexing,original,DAO,439,1.00,original_corpus
DAOXRG,serpent,beings,DAO,549,0.70,morphological_derivation > vexing + fire/reason
DARAH,"obey (perfect, general)",verb,DAR,116,0.70,verb_conjugation > perfect > general
DARAR,"obey (present, general)",verb,DAR,215,0.70,verb_conjugation > present > general
DARBS,obey,original,DAR,118,1.00,original_corpus
DARILAPA,there abode,original,DAR,213,1.00,original_corpus
DARIZI,"obey (past, general)",verb,DAR,236,0.70,verb_conjugation > past > general
DARM,anger (extended),extended,DAR,199,0.50,markov_extension
DAROLU,"obey (future, general)",verb,DAR,165,0.70,verb_conjugation > future > general
DARSAR,philosophy,original,DAR,219,1.00,original_corpus
DARSARMARP,heaven,divine,DAR,423,0.70,markov_generation
DAZ,flesh (extended),extended,DAZ,16,0.50,markov_extension
DAZIS,heads,original,DAZ,80,1.00,original_corpus
DE,of,original,DE,12,1.00,original_corpus
DEARZM,cave (extended),extended,DEA,215,0.50,markov_extension
DIV,angle,original,DIV,65,1.00,original_corpus
DIX,hundred (extended),extended,DIX,463,0.50,markov_extension
DIZ,desert (extended),extended,DIZ,70,0.50,markov_extension
DO,name,original,DO,33,1.00,original_corpus
DOOAIN,name,original,DOO,179,1.00,original_corpus
DOOIAP,names,original,DOO,137,1.00,original_corpus
DRI,small (extended),extended,DRI,163,0.50,markov_extension
DRIAPLAIAD,blood,body,DRI,276,0.70,markov_generation
DRILPA,great,original,DRI,201,1.00,original_corpus
DRIT,eternal,qualities,DRI,172,0.70,markov_generation
DRIX,bring down,original,DRI,563,1.00,original_corpus
DRP,wonder (extended),extended,DRP,111,0.50,markov_extension
DRPONS,mind (extended),extended,DRP,195,0.50,markov_extension
DS,which,original,DS,7,1.00,original_corpus
DUAR,corner,original,DUA,111,1.00,original_corpus
DUARM,dream (extended),extended,DUA,201,0.50,markov_extension
DUAZAR,holy,divine,DUA,124,0.70,morphological_derivation > corner + garments
ECRIN,praise,original,ECR,220,1.00,original_corpus
ECRIX,star (extended),extended,ECR,570,0.50,markov_extension
ECRORS,storm (extended),extended,ECR,244,0.50,markov_extension
EFAFAFE,visit,original,EFA,54,1.00,original_corpus
EL,first,original,EL,33,1.00,original_corpus
ELI,fish (extended),extended,ELI,93,0.50,markov_extension
ELZAP,course,original,ELZ,54,1.00,original_corpus
EM,nine,original,EM,99,1.00,original_corpus
EMETGIS,seal,original,EME,191,1.00,original_corpus
EMNA,herein,original,EMN,155,1.00,original_corpus
EMNOR,chaos (extended),extended,EMN,279,0.50,markov_extension
EN,of,original,EN,59,1.00,original_corpus
EOLIS,make,original,EOL,127,1.00,original_corpus
EOR,wood (extended),extended,EOR,139,0.50,markov_extension
EORS,ends,original,EOR,143,1.00,original_corpus
ETH,day (extended),extended,ETH,19,0.50,markov_extension
ETHAMICAOF,transform (extended),extended,ETH,220,0.50,markov_extension
ETHARZI,peace,original,ETH,192,1.00,original_corpus
ETHOM,matter (extended),extended,ETH,139,0.50,markov_extension
F,visit,original,F,8,1.00,original_corpus
FABOANU,poison,original,FAB,107,1.00,original_corpus
FAFE,spirit (extended),extended,FAF,31,0.50,markov_extension
FAFEN,dwelling,original,FAF,81,1.00,original_corpus
FAFFABOOAN,law (extended),extended,FAF,157,0.50,markov_extension
FARZM,dwell,original,FAR,211,1.00,original_corpus
GAH,spirits,original,GAH,17,1.00,original_corpus
GAHE,spirits,original,GAH,26,1.00,original_corpus
GEH,not,original,GEH,20,1.00,original_corpus
GIAH,gold (extended),extended,GIA,77,0.50,markov_extension
GIGIPAH,living breath,original,GIG,155,1.00,original_corpus
GISI,mountain (extended),extended,GIS,134,0.50,markov_extension
GNAY,thou,original,GNA,126,1.00,original_corpus
GOH,"say (imperative, general)",verb,GOH,41,0.70,verb_conjugation > imperative > general
GOHAH,"say (perfect, general)",verb,GOH,48,0.70,verb_conjugation > perfect > general
GOHAR,"say (present, general)",verb,GOH,147,0.70,verb_conjugation > present > general
GOHED,saith,original,GOH,53,1.00,original_corpus
GOHIS,joy,emotions,GOH,105,0.70,markov_generation
GOHIZI,"say (past, general)",verb,GOH,168,0.70,verb_conjugation > past > general
GOHO,saith,original,GOH,71,1.00,original_corpus
GOHOLU,"say (future, general)",verb,GOH,97,0.70,verb_conjugation > future > general
GOHRZM,sacred,divine,GOH,238,0.70,morphological_derivation > saith/I say + dwell
GOHUS,saith/I say,original,GOH,47,1.00,original_corpus
GONO,faith,original,GON,120,1.00,original_corpus
GONORSG,mind (extended),extended,GON,234,0.50,markov_extension
GRAA,moon,original,GRA,122,1.00,original_corpus
GRAPH,gather,original,GRA,125,1.00,original_corpus
GRO,cave (extended),extended,GRO,140,0.50,markov_extension
GROSB,bitter,original,GRO,149,1.00,original_corpus
HAMERIPAMG,universe (extended),extended,HAM,380,0.50,markov_extension
HAMI,creatures,original,HAM,157,1.00,original_corpus
HOA,age (extended),extended,HOA,37,0.50,markov_extension
HOAANPIRO,destroy (extended),extended,HOA,291,0.50,markov_extension
HOAN,dark (extended),extended,HOA,87,0.50,markov_extension
HOANBALZAM,order (extended),extended,HOA,225,0.50,markov_extension
HOATH,true worshipper,original,HOA,47,1.00,original_corpus
HOL,essence,existential,HOL,55,0.70,markov_generation
HOLDO,groan,original,HOL,88,1.00,original_corpus
HOLQ,measure,original,HOL,95,1.00,original_corpus
HOM,live,original,HOM,121,1.00,original_corpus
HOMARSAR,hope (extended),extended,HOM,337,0.50,markov_extension
HOMICAO,thousand (extended),extended,HOM,218,0.50,markov_extension
HOMIL,live,original,HOM,205,1.00,original_corpus
HORZAMARIL,serpent (extended),extended,HOR,424,0.50,markov_extension
HOXMARCH,bucklers,original,HOX,629,1.00,original_corpus
I,is/not,original,I,60,1.00,original_corpus
IABA,fall (extended),extended,IAB,77,0.50,markov_extension
IABES,depths,original,IAB,84,1.00,original_corpus
IAD,God,original,IAD,69,1.00,original_corpus
IADIX,thunder (extended),extended,IAD,529,0.50,markov_extension
IADNAH,knowledge,original,IAD,126,1.00,original_corpus
IADNAIDARZ,edge (extended),extended,IAD,301,0.50,markov_extension
IADPHE,love (extended),extended,IAD,87,0.50,markov_extension
IADPIL,the place of God,original,IAD,161,1.00,original_corpus
IADRPOIB,flesh (extended),extended,IAD,272,0.50,markov_extension
IAIADIX,honour,original,IAI,595,1.00,original_corpus
IAIAINTALX,peace (extended),extended,IAI,681,0.50,markov_extension
IAIALTOLLA,wonder (extended),extended,IAI,249,0.50,markov_extension
IAIDA,the highest,original,IAI,135,1.00,original_corpus
IAIDOHUSD,light (extended),extended,IAI,169,0.50,markov_extension
IAIDON,all-powerful,original,IAI,209,1.00,original_corpus
IAIPAM,abyss,cosmic,IAI,230,0.70,morphological_derivation > divine/god-related + beginning (the)
IAL,moment (extended),extended,IAL,90,0.50,markov_extension
IALPIRGAH,flames of first flame,original,IAL,275,1.00,original_corpus
IALPON,burn,original,IAL,178,1.00,original_corpus
IALPOR,burning flames,original,IAL,228,1.00,original_corpus
IAMBT,create (extended),extended,IAM,170,0.50,markov_extension
IANBA,edge,directions,IAN,127,0.70,markov_generation
IANIISO,throne,places,IAN,270,0.70,morphological_derivation > divine/god-related + come
IAOPEAM,destroy,actions,IAO,209,0.70,morphological_derivation > divine/god-related + unto + beginning
IARGE,dawn (extended),extended,IAR,185,0.50,markov_extension
IARILALZIE,being (extended),extended,IAR,356,0.50,markov_extension
IARIP,night (extended),extended,IAR,234,0.50,markov_extension
IARPH,fall,actions,IAR,175,0.70,markov_generation
IAXS,light (extended),extended,IAX,470,0.50,markov_extension
IEH,joy (extended),extended,IEH,70,0.50,markov_extension
IEHUSOZ,mercies,original,IEH,113,1.00,original_corpus
IEN,form,existential,IEN,119,0.70,markov_generation
ILA,pronoun form (IL),grammar,IL,90,0.60,pronoun_generation
ILAN,pronoun form (IL),grammar,IL,140,0.60,pronoun_generation
ILAPANILOR,harmony (extended),extended,ILA,368,0.50,markov_extension
ILBOG,"reign (imperative, second person)",verb,BOG,129,0.70,verb_conjugation > imperative > second person
ILBOGAH,"reign (perfect, second person)",verb,BOG,136,0.70,verb_conjugation > perfect > second person
ILBOGAR,"reign (present, second person)",verb,BOG,235,0.70,verb_conjugation > present > second person
ILBOGIZI,"reign (past, second person)",verb,BOG,256,0.70,verb_conjugation > past > second person
ILBOGOLU,"reign (future, second person)",verb,BOG,185,0.70,verb_conjugation > future > second person
ILDAR,"obey (imperative, second person)",verb,DAR,193,0.70,verb_conjugation > imperative > second person
ILDARAH,"obey (perfect, second person)",verb,DAR,200,0.70,verb_conjugation > perfect > second person
ILDARAR,"obey (present, second person)",verb,DAR,299,0.70,verb_conjugation > present > second person
ILDARIZI,"obey (past, second person)",verb,DAR,320,0.70,verb_conjugation > past > second person
ILDAROLU,"obey (future, second person)",verb,DAR,249,0.70,verb_conjugation > future > second person
ILGOH,"say (imperative, second person)",verb,GOH,125,0.70,verb_conjugation > imperative > second person
ILGOHAH,"say (perfect, second person)",verb,GOH,132,0.70,verb_conjugation > perfect > second person
ILGOHAR,"say (present, second person)",verb,GOH,231,0.70,verb_conjugation > present > second person
ILGOHIZI,"say (past, second person)",verb,GOH,252,0.70,verb_conjugation > past > second person
ILGOHOLU,"say (future, second person)",verb,GOH,181,0.70,verb_conjugation > future > second person
ILI,pronoun form (IL),grammar,IL,144,0.60,pronoun_generation
ILIS,pronoun form (IL),grammar,IL,148,0.60,pronoun_generation
ILMIC,"behold (imperative, second person)",verb,MIC,235,0.70,verb_conjugation > imperative > second person
ILMICAH,"behold (perfect, second person)",verb,MIC,242,0.70,verb_conjugation > perfect > second person
ILMICAR,"behold (present, second person)",verb,MIC,341,0.70,verb_conjugation > present > second person
ILMICIZI,"behold (past, second person)",verb,MIC,362,0.70,verb_conjugation > past > second person
ILMICOLU,"behold (future, second person)",verb,MIC,291,0.70,verb_conjugation > future > second person
ILNII,"come (imperative, second person)",verb,NII,254,0.70,verb_conjugation > imperative > second person
ILNIIAH,"come (perfect, second person)",verb,NII,261,0.70,verb_conjugation > perfect > second person
ILNIIAR,"come (present, second person)",verb,NII,360,0.70,verb_conjugation > present > second person
ILNIIIZI,"come (past, second person)",verb,NII,381,0.70,verb_conjugation > past > second person
ILNIIOLU,"come (future, second person)",verb,NII,310,0.70,verb_conjugation > future > second person
ILO,pronoun form (IL),grammar,IL,114,0.60,pronoun_generation
ILOMP,"understand (imperative, second person)",verb,OMP,212,0.70,verb_conjugation > imperative > second person
ILOMPAH,"understand (perfect, second person)",verb,OMP,219,0.70,verb_conjugation > perfect > second person
ILOMPAR,"understand (present, second person)",verb,OMP,318,0.70,verb_conjugation > present > second person
ILOMPIZI,"understand (past, second person)",verb,OMP,339,0.70,verb_conjugation > past > second person
ILOMPOLU,"understand (future, second person)",verb,OMP,268,0.70,verb_conjugation > future > second person
ILONON,excelling,original,ILO,244,1.00,original_corpus
ILQUA,"destroy (imperative, second person)",verb,QUA,132,0.70,verb_conjugation > imperative > second person
ILQUAAH,"destroy (perfect, second person)",verb,QUA,139,0.70,verb_conjugation > perfect > second person
ILQUAAR,"destroy (present, second person)",verb,QUA,238,0.70,verb_conjugation > present > second person
ILQUAIZI,"destroy (past, second person)",verb,QUA,259,0.70,verb_conjugation > past > second person
ILQUAOLU,"destroy (future, second person)",verb,QUA,188,0.70,verb_conjugation > future > second person
ILS,thou,original,ILS,88,1.00,original_corpus
ILTOR,"arise (imperative, second person)",verb,TOR,223,0.70,verb_conjugation > imperative > second person
ILTORAH,"arise (perfect, second person)",verb,TOR,230,0.70,verb_conjugation > perfect > second person
ILTORAR,"arise (present, second person)",verb,TOR,329,0.70,verb_conjugation > present > second person
ILTORIZI,"arise (past, second person)",verb,TOR,350,0.70,verb_conjugation > past > second person
ILTOROLU,"arise (future, second person)",verb,TOR,279,0.70,verb_conjugation > future > second person
ILZAC,"move (imperative, second person)",verb,ZAC,98,0.70,verb_conjugation > imperative > second person
ILZACAH,"move (perfect, second person)",verb,ZAC,105,0.70,verb_conjugation > perfect > second person
ILZACAR,"move (present, second person)",verb,ZAC,204,0.70,verb_conjugation > present > second person
ILZACIZI,"move (past, second person)",verb,ZAC,225,0.70,verb_conjugation > past > second person
ILZACOLU,"move (future, second person)",verb,ZAC,154,0.70,verb_conjugation > future > second person
ILZAM,"appear (imperative, second person)",verb,ZAM,187,0.70,verb_conjugation > imperative > second person
ILZAMAH,"appear (perfect, second person)",verb,ZAM,194,0.70,verb_conjugation > perfect > second person
ILZAMAR,"appear (present, second person)",verb,ZAM,293,0.70,verb_conjugation > present > second person
ILZAMIZI,"appear (past, second person)",verb,ZAM,314,0.70,verb_conjugation > past > second person
ILZAMOLU,"appear (future, second person)",verb,ZAM,243,0.70,verb_conjugation > future > second person
IMLALZ,lightning (extended),extended,IML,211,0.50,markov_extension
IMLAR,wind (extended),extended,IML,280,0.50,markov_extension
IMPAN,night,temporal,IMP,214,0.70,morphological_derivation > obedient + secret/truth
IMPIS,obedient,original,IMP,222,1.00,original_corpus
IP,not,original,IP,68,1.00,original_corpus
IPAM,beginning,original,IPA,164,1.00,original_corpus
IPAMIS,beginning (the),original,IPA,228,1.00,original_corpus
IPAMZI,dust,materials,IPA,231,0.70,morphological_derivation > beginning (the) + being/am
IPSARB,perfect (extended),extended,IPS,183,0.50,markov_extension
IQUADAH,creation,original,IQU,118,1.00,original_corpus
IQUARM,sea,places,IQU,298,0.70,markov_generation
IQUASA,angel (extended),extended,IQU,118,0.50,markov_extension
IQURD,god (extended),extended,IQU,205,0.50,markov_extension
ISARA,heaven (extended),extended,ISA,176,0.50,markov_extension
ISI,promise,original,ISI,124,1.00,original_corpus
IT,is,original,IT,69,1.00,original_corpus
ITTABGES,silver,materials,ITT,112,0.70,morphological_derivation > is + cave
IVMD,called,original,IVM,155,1.00,original_corpus
L,first/one,original,L,24,1.00,original_corpus
LA,first/rich,original,LA,30,1.00,original_corpus
LAIAD,secrets of truth,original,LAI,99,1.00,original_corpus
LAIAXS,bright (extended),extended,LAI,500,0.50,markov_extension
LAIDOODZIZ,chaos,abstract,LAI,230,0.70,markov_generation
LALIT,south (extended),extended,LAL,123,0.50,markov_extension
LALTOL,planet (extended),extended,LAL,117,0.50,markov_extension
LANONSH,celestial,divine,LAN,165,0.70,markov_generation
LAP,for the,original,LAP,38,1.00,original_corpus
LAPAH,strong (extended),extended,LAP,45,0.50,markov_extension
LAPATB,transform (extended),extended,LAP,58,0.50,markov_extension
LARSAD,disposed,original,LAR,143,1.00,original_corpus
LAS,rich,original,LAS,34,1.00,original_corpus
LASOLPETH,two,numbers,LAS,115,0.70,morphological_derivation > secrets of truth + hearken
LEVITHMONG,beasts,original,LEV,285,1.00,original_corpus
LIADEA,flame (extended),extended,LIA,108,0.50,markov_extension
LIMLA,abyss (extended),extended,LIM,204,0.50,markov_extension
LIMLAL,treasure,original,LIM,228,1.00,original_corpus
LIS,god (extended),extended,LIS,88,0.50,markov_extension
LISARMG,great,qualities,LIS,294,0.70,markov_generation
LIT,with,original,LIT,93,1.00,original_corpus
LITAN,blessing,divine,LIT,149,0.70,morphological_derivation > with + secret/truth
LIZI,giant,beings,LIZ,151,0.70,morphological_derivation > eyes + being/am
LOBIAB,moment,temporal,LOB,130,0.70,morphological_derivation > power/first + stand
LOCH,three (extended),extended,LOC,56,0.50,markov_extension
LOCHRIP,dust (extended),extended,LOC,224,0.50,markov_extension
LOHOLO,man/men,original,LOH,139,1.00,original_corpus
LOHUSDIX,voice (extended),extended,LOH,524,0.50,markov_extension
LON,river (extended),extended,LON,104,0.50,markov_extension
LONDOH,kingdom,original,LON,138,1.00,original_corpus
LONG,sea (extended),extended,LON,114,0.50,markov_extension
LONPILASAG,awe (extended),extended,LON,222,0.50,markov_extension
LONSA,power,original,LON,114,1.00,original_corpus
LONSH,power (short),original,LON,109,1.00,original_corpus
LONSHI,power,original,LON,169,1.00,original_corpus
LOR,against,preposition,LOR,154,0.65,preposition_generation
LORA,against,preposition,LOR,160,0.65,preposition_generation
LORI,against,preposition,LOR,214,0.65,preposition_generation
LORO,against,preposition,LOR,184,0.65,preposition_generation
LORSBA,for their,original,LOR,169,1.00,original_corpus
LOTURALB,gate,places,LOT,200,0.70,morphological_derivation > power/first + beauty
LU,first,original,LU,26,1.00,original_corpus
LUCICLE,mystery,abstract,LUC,121,0.70,markov_generation
LUCIFTIAN,brightness,original,LUC,220,1.00,original_corpus
LUCIFTIP,creature (extended),extended,LUC,172,0.50,markov_extension
LUS,thunder (extended),extended,LUS,30,0.50,markov_extension
LUSDA,feet,original,LUS,39,1.00,original_corpus
LUSDAOD,creature,beings,LUS,72,0.70,morphological_derivation > feet + and
LUSDI,feet (variant),original,LUS,93,1.00,original_corpus
LUSOLOGOND,darkness,elements,LUS,207,0.70,markov_generation
LUSONPIRT,throne (extended),extended,LUS,287,0.50,markov_extension
M,apply,original,M,90,1.00,original_corpus
MAB,spirit (extended),extended,MAB,101,0.50,markov_extension
MABZA,garment,original,MAB,114,1.00,original_corpus
MAD,god/your god,original,MAD,99,1.00,original_corpus
MADAMA,forty (extended),extended,MAD,201,0.50,markov_extension
MADNA,serpent (extended),extended,MAD,155,0.50,markov_extension
MADRIAX,heavens,original,MAD,665,1.00,original_corpus
MADRID,iniquity,original,MAD,262,1.00,original_corpus
MALAS,wonder,emotions,MAL,130,0.70,morphological_derivation > continuation/god + rich
MALMABZAPH,rest (extended),extended,MAL,243,0.50,markov_extension
MALOHOL,infinite (extended),extended,MAL,205,0.50,markov_extension
MALPRG,fire,original,MAL,238,1.00,original_corpus
MALTIM,cave,places,MAL,279,0.70,morphological_derivation > continuation/god + extreme justice
MALTOHOLNA,darkness (extended),extended,MAL,270,0.50,markov_extension
MAMA,continue,original,MAM,192,1.00,original_corpus
MAN,cycle (extended),extended,MAN,146,0.50,markov_extension
MANIN,mind,original,MAN,256,1.00,original_corpus
MANPH,lightning (extended),extended,MAN,155,0.50,markov_extension
MAOFFAS,garment,original,MAO,152,1.00,original_corpus
MAOIBS,spirit (extended),extended,MAO,195,0.50,markov_extension
MAR,time (extended),extended,MAR,196,0.50,markov_extension
MARB,half,original,MAR,201,1.00,original_corpus
MASARMA,pure,qualities,MAS,302,0.70,morphological_derivation > continuation/god + whom
MASOBA,north,directions,MAS,141,0.70,morphological_derivation > continuation/god + whose
MATB,nine,original,MAT,110,1.00,original_corpus
MAX,wise,qualities,MAX,496,0.70,markov_generation
MER,upon,original,MER,199,1.00,original_corpus
MERADIX,worship,divine,MER,668,0.70,markov_generation
MIAIDAZ,silver (extended),extended,MIA,232,0.50,markov_extension
MIAM,continuance,original,MIA,246,1.00,original_corpus
